"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
CARE20,USKM2B,19.881,0,OHL,0.107,1,4.557,680,630,540,630
CARR11,WARR11,0,0,REACTOR,1.232,22.745,0.622,90,90,90,90
CARR11,WARR12,0,0,REACTOR,1.232,22.745,0.622,90,90,90,90
CARR20,CARR4A,0,0,TRANSFORMER,0.019,1.597,-1.612,750,750,750,750
CARR20,CARR4B,0,0,TRANSFORMER,0.017,1.597,-0.574,750,750,750,750
CARR20,SMAN20,10.54,0.23,COMPOSITE,0.045,0.448,5.353,835,635,665,665
CARR20,SMAN20,9.298,0.133,COMPOSITE,0.042,0.396,3.938,835,665,665,835
CARR4A,DAIN40,2.04,0,OHL,0.004,0.038,1.249,2010,1910,1750,1910
CARR4B,DAIN40,2.05,0,OHL,0.004,0.039,1.205,1390,1280,1110,1280
CARR4H,DAIN40,1.92,0,OHL,0.003,0.034,1.22,3100,3050,2960,3050
CARR4H,KEAR4A,13.4,0,OHL,0.023,0.249,8.2,2210,2130,1980,2130
CELL40,DAIN40,53.212,1.155,COMPOSITE,0.084,0.99,77.603,2400,2300,2140,2300
CELL40,DRAK41,45.619,0,OHL,0.071,0.844,28.11,2180,2070,1890,2070
CELL40,DRAK42,45.691,0,OHL,0.071,0.845,28.155,2180,2070,1890,2070
CELL40,MACC40,31.53,0,OHL,0.049,0.583,19.429,2400,2300,2140,2300
CHIC41,EXET40,76.088,0,OHL,0.081,1.204,54.317,2780,2570,2220,2570
CHIC41,MANN40,53.784,0,OHL,0.047,0.882,37.208,3070,2830,2410,2830
CHIC42,MANN40,53.784,0,OHL,0.047,0.882,37.208,3070,2830,2410,2830
CHSI20,WWEY21,15.303,0,OHL,0.05,0.599,4.457,1320,1210,1100,1210
CHSI20,WWEY22,15.329,0,OHL,0.051,0.6,4.465,1320,1210,1100,1210
CHTE20,HIGM20,43.627,0,OHL,0.099,1.532,13.966,1290,1240,1150,1240
CILF2A,CILF40,0,0,TRANSFORMER,0.017,1.603,-0.878,750,750,750,750
CILF2A,UPPB22,6.985,0,OHL,0.031,0.284,1.94,955,885,760,885
CILF2B,CILF40,0,0,TRANSFORMER,0.017,1.617,-0.837,750,750,750,750
CILF2B,UPPB21,7.055,0,OHL,0.032,0.287,1.959,955,885,760,885
CILF40,IMPP40,25.268,0,OHL,0.027,0.421,17.059,2780,2570,2220,2570
CILF40,PEMB40,143.76,0,OHL,0.154,2.386,97.426,2780,2570,2220,2570
CILF40,PEMB40,145.75,0,OHL,0.156,2.419,98.775,2780,2570,2220,2570
CILF40,RASS40,26.723,0,OHL,0.029,0.455,17.82,2780,2570,2220,2570
CILF40,SWAN40,61.06,0,OHL,0.065,1.014,41.38,3180,3000,2690,3000
CILF40,WHSO4A,35.58,0,OHL,0.038,0.593,24.032,2780,2570,2220,2570
CITR41,SJOW40,0,6.883,CABLE,0.006,0.056,123.894,1415,1245,1100,1415
CITR41,SJOW40,0,6.776,CABLE,0.006,0.056,121.968,1415,1245,1100,1415
CITR41,WHAM4A,0,9.54,CABLE,0.009,0.078,171.72,1412,1412,1102,1412
CITR42,CITR41,0,0.15,CABLE,0,0.001,2.7,1412,1412,1102,1412
CITR42,WHAM4B,0,9.39,CABLE,0.008,0.077,169.02,1412,1412,1102,1412
COSO40,RAYL40,13.7,0,OHL,0.024,0.253,8.32,2400,2298,2122,2298
COSO40,TILB4B,12.24,0,OHL,0.021,0.225,7.425,2010,1910,1750,1910
COTT40,EASO40,135.3,0,OHL,0.145,2.246,91.693,2780,2570,2220,2570
COTT40,EASO40,135.3,0,OHL,0.145,2.246,91.693,2780,2570,2220,2570
COTT40,KEAD4C,34.11,0,OHL,0.055,0.621,21.332,2210,2130,1980,2130
COTT40,KEAD4D,34.11,0,OHL,0.055,0.621,21.332,2210,2130,1980,2130
COTT40,STAY41,27.97,0,OHL,0.049,0.52,17.126,2210,2130,1980,2130
COTT40,STAY42,27,0,OHL,0.041,0.484,17.112,2010,1910,1750,1910
COVE20,HAMH20,20.169,0,OHL,0.046,0.708,6.46,1150,1090,1020,1090
COVE20,RATS2A,64.06,0.5,COMPOSITE,0.201,2.418,24.19,1000,1000,1000,1000
COWB2A,PYLE20,22.58,0,OHL,0.133,0.924,6.279,930,875,780,875
COWL40,CULJ4A,6.2,0,OHL,0.007,0.103,4.202,2780,2570,2220,2570
COWL40,DIDC41,11.41,0,OHL,0.012,0.189,7.733,2780,2570,2220,2570
COWL40,ECLA40,36.388,0,OHL,0.039,0.604,24.66,2770,2570,2220,2570
COWL40,LEIB4A,51.17,0,OHL,0.055,0.849,34.678,2780,2570,2220,2570
COWL40,MITY40,100.228,2.092,COMPOSITE,0.129,1.755,100.532,1180,980,875,1130
COWL40,WALH40,89.44,2.092,COMPOSITE,0.11,1.554,93.965,1180,980,875,1130
CREB2A,CREB40,0,0,TRANSFORMER,0.018,1.579,-0.308,750,750,750,750
CREB2A,CREB40,0,0,TRANSFORMER,0.018,1.579,-0.57,750,750,750,750
CREB2A,SAES20,22,0,OHL,0.061,0.823,6.7,1730,1650,1500,1650
CREB2B,CREB40,0,0,TRANSFORMER,0.018,1.579,-0.57,750,750,750,750
CREB2B,SAEN20,21.3,0.4,COMPOSITE,0.059,0.807,10.76,1730,1650,1500,1650
CREB40,KEAD4A,29.74,0,OHL,0.026,0.488,20.574,2770,2770,2660,2770
CREB40,KEAD4B,29.74,0,OHL,0.026,0.488,20.574,3070,2880,2660,2880
CREB40,THTO41,29.45,0,OHL,0.032,0.489,19.958,2770,2770,2660,2770
CREB40,THTO42,29.45,0,OHL,0.032,0.489,19.958,2770,2770,2660,2770
CULJ4A,DIDC41,5.21,0,OHL,0.006,0.086,3.531,2780,2570,2220,2570
DAIN40,KEAR40,15.907,0,OHL,0.027,0.296,9.757,2210,2130,1980,2130
DAIN40,MACC40,33.147,1.2,COMPOSITE,0.052,0.619,66.985,2400,2300,2140,2300
DAIN40,WEAV4A,29.5,0,OHL,0.047,0.527,18.815,3100,3050,2960,3050
DAIN40,WEAV4B,29.5,0,OHL,0.047,0.527,18.815,3100,3050,2960,3050
DAMC40,KINO42,0,0.94,CABLE,0.001,0.01,16.92,1320,1060,850,1060
DEES41,PENT40,78.91,0,OHL,0.095,1.413,50.111,2780,2570,2220,2570
DEES41,TREU4B,14.312,0,OHL,0.025,0.266,8.763,2010,1910,1750,1910
DEES41,WEAV4B,30.858,0,OHL,0.049,0.551,19.681,3100,3050,2960,3050
DEES42,PENT40,78.91,0,OHL,0.095,1.413,50.111,2780,2570,2220,2570
DEES42,TREU4A,14.312,0,OHL,0.022,0.265,8.819,2180,2070,1890,2070
DEES42,WEAV4A,30.858,0,OHL,0.049,0.551,19.681,3100,3050,2960,3050
DIDC41,DIDC42,0,0,REACTOR,0.002,0.5,0,2640,2640,2640,2640
DINO40,PENT40,0,10.762,CABLE,0.008,0.118,215.24,1680,1630,1630,1680
DINO40,PENT40,4.561,6.183,COMPOSITE,0.009,0.144,126.751,1680,1630,1630,1680
DRAK21,DRAK41,0,0,TRANSFORMER,0.017,1.589,-0.395,1000,1000,1000,1000
DRAK22,DRAK41,0,0,TRANSFORMER,0.021,1.608,3.13,750,750,750,750
DRAK22,DRAK41,0,0,TRANSFORMER,0.02,1.601,-0.811,750,750,750,750
DRAK41,RATS42,33.283,0,OHL,0.053,0.603,20.889,2010,1910,1750,1910
DRAK41,WILE40,17.016,0,OHL,0.03,0.316,10.419,2010,1910,1750,1910
DRAK42,HAMH40,29.562,0,OHL,0.051,0.55,18.101,2010,1910,1750,1910
DRAK42,OLDB4A,48.421,0.5,COMPOSITE,0.095,0.925,37.207,1000,1000,1000,1000
DRAK42,RUGE40,20.82,0,OHL,0.036,0.387,12.748,2010,1910,1750,1910
DRAX41,DRAX42,0,0,REACTOR,0.006,2.002,0,1320,1320,1320,1320
DRAX41,EGGB41,11.253,0.64,COMPOSITE,0.013,0.195,30.522,2090,2090,1880,1880
DRAX41,FENW4A,13.464,0,OHL,0.014,0.224,9.125,2770,2770,2690,2770
DRAX41,THTO41,22.16,0,OHL,0.024,0.368,15.018,2780,2570,2220,2570
DRAX42,EGGB42,11.395,0,OHL,0.012,0.194,7.578,2780,2670,2450,2670
DRAX42,THOM40,21.243,0.32,COMPOSITE,0.027,0.363,37.126,2980,2500,2250,2870
DRAX42,THTO42,22.16,0,OHL,0.024,0.368,15.018,2780,2570,2220,2570
DUBR4A,FORD4A,0,4.978,CABLE,0.005,0.031,76.064,1040,1040,1040,1040
DUBR4A,THOM40,52.298,0,OHL,0.056,0.869,35.401,2780,2570,2220,2570
DUBR4B,FORD4B,0,5.236,CABLE,0.005,0.034,80.23,1040,1040,1040,1040
DUBR4B,STSB4A,12.635,0,OHL,0.014,0.211,8.522,2780,2570,2220,2570
DUNG20,DUNG40,0,0,TRANSFORMER,0.018,1.6,-0.948,710,660,610,660
DUNG20,DUNG40,0,0,TRANSFORMER,0.018,1.604,-1.203,710,660,610,660
DUNG40,NINF40,43.333,0,OHL,0.038,0.711,29.978,3070,2830,2410,2830
DUNG40,SELL40,24.658,0.415,COMPOSITE,0.043,0.461,30.038,1850,1550,1390,1550
EALI20,LALE20,0,19.694,CABLE,0.053,0.392,167.596,525,405,405,525
EALI20,WISD2A,0,6.075,CABLE,0.012,0.139,61.54,760,760,620,760
EASO40,LITB40,0,0,"GEN CONN",0.002,0.032,49.59,1100,1100,1100,1100
EASO40,WYMO40,36.5,0,OHL,0.039,0.606,24.736,2780,2570,2220,2570
ECLA40,LEIB4B,14.26,0,OHL,0.015,0.237,9.664,2780,2570,2220,2570
ECLA40,PAFB4A,44.5,0,OHL,0.077,0.828,27.247,2010,1910,1750,1910
ECLA40,PAFB4B,44.388,0,OHL,0.077,0.826,27.179,2010,1910,1750,1910
EGGB41,ROCH4A,86.307,0.7,COMPOSITE,0.137,1.589,66.428,1240,1120,1120,1240
EGGB41,STSB40,44.583,0,OHL,0.048,0.74,30.214,2780,2570,2220,2570
EGGB42,FERR4A,12.218,0,OHL,0.013,0.203,8.292,2780,2570,2220,2570
EGGB42,MONF40,10.518,0,OHL,0.011,0.175,7.128,2780,2570,2220,2570
EGGB42,MONF4A,10.424,0,OHL,0.011,0.173,7.064,2780,2570,2220,2570
EGGB42,THOM40,28.052,0.197,COMPOSITE,0.03,0.467,25.524,2220,1800,1800,2220
ELLA20,FERR21,45.471,0,OHL,0.153,1.765,13.309,1320,1260,1150,1260
ELLA20,KIRK20,34.082,5.044,COMPOSITE,0.162,1.528,64.293,760,620,620,760
ELLA20,STAL22,39.577,0,OHL,0.164,1.606,11.045,955,885,760,885
ELST21,ELST40,0,0,TRANSFORMER,0.018,1.584,-0.193,1100,1100,1100,1100
ELST21,WARL20,59.326,0.59,COMPOSITE,0.241,2.385,23.276,760,760,620,760
ELST21,WATS21,5.4,0.222,COMPOSITE,0.025,0.226,3.913,760,620,620,620
ELST22,ELST4B,0,0,TRANSFORMER,0.022,1.749,3.133,900,900,900,900
ELST22,MILH2A,6.375,6.282,COMPOSITE,0.054,0.386,55.233,520,520,430,520
ELST22,MILH2B,6.375,6.338,COMPOSITE,0.055,0.387,55.709,520,520,430,520
ELST22,WARL20,59.277,0.261,COMPOSITE,0.241,2.373,19.686,760,760,620,760
ELST22,WATS22,5.4,0.399,COMPOSITE,0.025,0.231,5.837,760,620,620,620
ELST40,ELST4A,0,0,REACTOR,0,1,0,2000,2000,2000,2000
ELST40,SJOW40,0,20,CABLE,0.014,0.176,244.29,1770,1770,1770,1770
ELST4A,SUND41,34.908,0,OHL,0.073,0.67,20.526,1560,1500,1350,1500
ELST4B,SUND42,34.791,0,OHL,0.073,0.668,20.457,1590,1500,1350,1500
ENDE40,PAFB4A,41.494,0,OHL,0.069,0.762,25.735,2010,1910,1750,1910
ENDE40,PAFB4B,41.36,0,OHL,0.069,0.759,25.662,2010,1910,1750,1910
ENDE40,RATS41,37.065,0,OHL,0.04,0.615,25.119,2780,2570,2220,2570
ENDE40,RATS42,37,0,OHL,0.04,0.614,25.075,2780,2570,2220,2570
EXET40,TAUN4A,38.232,0,OHL,0.067,0.711,23.409,2010,1910,1750,1910
EXET40,TAUN4B,38.232,0,OHL,0.067,0.711,23.409,2010,1910,1750,1910
FAWL40,LOVE40,22.6,3.885,COMPOSITE,0.028,0.402,75.073,1110,900,900,1110
FAWL40,MANN40,60.65,0,OHL,0.065,1.007,41.103,2780,2570,2220,2570
FAWL40,MAWO40,19.15,0,OHL,0.022,0.323,12.8,2400,2300,2140,2300
FECK20,FECK40,0,0,TRANSFORMER,0.023,1.694,-0.381,1000,1000,1000,1000
FECK40,HAMH40,43.331,0,OHL,0.075,0.806,26.532,2010,1910,1750,1910
FECK40,IRON40,66.355,0,OHL,0.115,1.234,40.629,2010,1910,1750,1910
FECK40,MITY40,78.983,0,OHL,0.138,1.471,48.299,1970,1870,1710,1870
FECK40,WALH40,67.324,0,OHL,0.117,1.252,41.218,1970,1870,1710,1870
FENW4A,KEAD43,21.414,0,OHL,0.019,0.199,26.224,3070,2880,2660,2880
FERR21,FERR4A,0,0,TRANSFORMER,0.017,1.608,-0.282,1000,1000,1000,1000
FERR22,FERR4A,0,0,TRANSFORMER,0.018,1.507,3.09,1000,1000,1000,1000
FERR22,MONF22,4.317,0.072,COMPOSITE,0.01,0.161,2.581,1140,1140,1140,1140
FERR23,SKLG20,20.006,0.685,COMPOSITE,0.098,0.957,9.897,865,825,750,825
FERR2A,FERR23,0.3,0,OHL,0.001,0.011,0.096,1220,1220,1220,1220
FERR2A,MONF21,4.529,0,OHL,0.01,0.159,1.451,1200,1120,1020,1120
FERR2B,FERR21,0.3,0.2,COMPOSITE,0.001,0.016,2.27,1030,980,980,1030
FERR2B,SKLG20,20.006,0.72,COMPOSITE,0.098,0.958,10.149,865,825,750,825
FFES21,TRAW20,7.316,0.133,COMPOSITE,0.077,0.296,2.948,480,480,330,330
FFES22,TRAW20,7.316,0,OHL,0.077,0.293,2.059,550,515,445,515
FIDF21,FIDF24,0,0,REACTOR,0.007,1.041,0,750,750,750,750
FIDF21,FROD2B,9.15,0,OHL,0.021,0.321,2.931,1320,1210,1100,1210
FIDF22,FIDF23,0,0,REACTOR,0.007,1.041,0,750,750,750,750
FIDF22,FROD2A,9.15,0,OHL,0.021,0.321,2.931,1320,1210,1100,1210
FIDF23,RAIN20,7.949,0,OHL,0.018,0.279,2.546,1320,1210,1100,1210
FIDF24,RAIN20,7.949,0,OHL,0.018,0.279,2.546,1320,1210,1100,1210
FLEE40,LOVE40,38.994,0,OHL,0.068,0.725,23.876,2210,2130,1980,2130
FLEE40,LOVE40,38.994,0,OHL,0.068,0.725,23.876,2150,2060,1900,2060
FORD4A,STAL4A,16.08,0,OHL,0.021,0.301,9.791,2520,2400,2190,2400
FORD4B,MACC40,48.23,0,OHL,0.088,0.918,28.695,1390,1280,1110,1280
