"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
BURW40,WALP40,51.493,0,OHL,0.04479891,0.8444852,35.6228574,3100,2930,2770,2930
BUSH20,DRAK21,39.964,0,OHL,0.1478668,1.5705852,11.5655816,955,885,760,885
BUSH20,PENN20,21.821,0.127,COMPOSITE,0.0809536,0.8611086,7.6954874,1040,760,760,1040
BUSH20,WIEN2B,5.201,4.318,COMPOSITE,0.0307451,0.3321529,48.3809777,760,680,680,760
BUST21,DRAK22,34.626,0,OHL,0.07825476,1.2153726,11.0907078,1200,1120,1020,1120
BUST21,NECH20,1.741,7.673,COMPOSITE,0.0208786,0.2849354,83.8889857,725,695,610,695
BUST22,DRAK21,34.582,0,OHL,0.07815532,1.2138282,11.0766146,1200,1120,1020,1120
BUST22,NECH20,1.741,7.726,COMPOSITE,0.0209687,0.2864141,84.4650957,725,695,610,695
CANT40,KEMS40,28.169,0,OHL,0.04478871,0.50309834,17.9661882,1930,1830,1670,1830
CANT40,KEMS40,28.17,0,OHL,0.0447,0.5031,17.97,1930,1830,1670,1830
CANT40,SELL40,26.653,0.176,COMPOSITE,0.04911192,0.512146393,22.5913842,1930,1640,1640,1830
CANT40,SELL40,26.653,0.257,COMPOSITE,0.04914432,0.512567593,25.7341842,1930,1640,1640,1830
CAPE21,CAPE4B,0,0,TRANSFORMER,0.019,1.597,3.44,750,750,750,750
CAPE22,CAPE4A,0,0,TRANSFORMER,0.02,1.604,8.07,750,750,750,750
CAPE4A,DEES42,11.535,0,OHL,0.01003545,0.189174,7.979913,3320,3320,3130,3320
CAPE4A,FROD40,18.735,0,OHL,0.02030967,0.311862,12.6682227,2780,2570,2220,2570
CAPE4B,DEES41,11.535,0,OHL,0.01003545,0.189174,7.979913,3320,3320,3130,3320
CAPE4B,FROD40,18.489,0,OHL,0.01978323,0.3069174,12.5299953,2780,2570,2220,2570
CARE20,COWB2A,28.328,0,OHL,0.1529712,1.4248984,6.4927776,680,630,540,630
CARE20,USKM2B,19.881,0,OHL,0.1073574,1.0000143,4.5567252,680,630,540,630
CARR11,WARR11,0,0,REACTOR,1.232,22.745,0.622,90,90,90,90
CARR11,WARR12,0,0,REACTOR,1.232,22.745,0.622,90,90,90,90
CARR20,CARR4A,0,0,TRANSFORMER,0.0188,1.597,-1.6115,750,750,750,750
CARR20,CARR4B,0,0,TRANSFORMER,0.017,1.597,-0.574,750,750,750,750
CARR20,SMAN20,10.54,0.23,COMPOSITE,0.0454576,0.448036,5.353329,835,635,665,665
CARR20,SMAN20,9.298,0.133,COMPOSITE,0.04221596,0.396281,3.9377043,835,665,665,835
CARR4A,DAIN40,2.04,0,OHL,0.0035496,0.037944,1.249092,2010,1910,1750,1910
CARR4B,DAIN40,2.05,0,OHL,0.004305,0.03936,1.2054,1390,1280,1110,1280
CARR4H,DAIN40,1.92,0,OHL,0.0031,0.0343,1.22,3100,3050,2960,3050
CARR4H,KEAR4A,13.4,0,OHL,0.0233,0.249,8.2,2210,2130,1980,2130
CELL40,DAIN40,53.212,1.155,COMPOSITE,0.08353047,0.990428,77.6032344,2400,2300,2140,2300
CELL40,DRAK41,45.619,0,OHL,0.07116564,0.8439515,28.1104278,2180,2070,1890,2070
